series_no,game_no,rating,color,opening,link,start,analysis,series,creator,move1,move2,move3,move4
8,1,1620,B,King's Indian,https://www.youtube.com/watch?v=d-MNpi_zPr0&list=PLT1F2nOxLHOfQ-eoJTpyvKkQFwYewDduj&index=8,0.00,,Beginner to Master,Danya,,,,
8,2,,W,Open Sicilian,,29.45,,Beginner to Master,Danya,,,,
9,1,1461,B,Najdorf,https://www.youtube.com/watch?v=uJCgrG90u8A&list=PLT1F2nOxLHOfQ-eoJTpyvKkQFwYewDduj&index=9,0.00,,Beginner to Master,Danya,,,,
10,1,1590,B,King's Indian,https://www.youtube.com/watch?v=-PSQS88VdZU&list=PLT1F2nOxLHOfQ-eoJTpyvKkQFwYewDduj&index=10,0.00,,Beginner to Master,Danya,,,,
10,2,1600,W,Scotch Gambit,,17.30,,Beginner to Master,Danya,,,,
11,1,1651,B,Sicilian,https://www.youtube.com/watch?v=VBxmm4zzC1g&list=PLT1F2nOxLHOfQ-eoJTpyvKkQFwYewDduj&index=11,0.00,,Beginner to Master,Danya,,,,
12,1,1733,W,King's Gambit,https://www.youtube.com/watch?v=8QxDmN_BMaU&list=PLT1F2nOxLHOfQ-eoJTpyvKkQFwYewDduj&index=12,0.00,,Beginner to Master,Danya,,,,
13,1,1751,B,Najdorf,https://www.youtube.com/watch?v=0npOMfkAlVU&list=PLT1F2nOxLHOfQ-eoJTpyvKkQFwYewDduj&index=13,0.00,,Beginner to Master,Danya,,,,
13,2,1763,B,Italian,,30.30,,Beginner to Master,Danya,,,,
14,1,1764,W,Scotch,https://www.youtube.com/watch?v=OE2pJpVVzYw&list=PLT1F2nOxLHOfQ-eoJTpyvKkQFwYewDduj&index=14,0.00,,Beginner to Master,Danya,,,,
15,1,1770,W,French,https://www.youtube.com/watch?v=8O4UG9NtUoM&list=PLT1F2nOxLHOfQ-eoJTpyvKkQFwYewDduj&index=15,0.00,,Beginner to Master,Danya,,,,
16,1,1779,B,Najdorf,https://www.youtube.com/watch?v=fhDxUI-t2v4&list=PLT1F2nOxLHOfQ-eoJTpyvKkQFwYewDduj&index=16,0.00,,Beginner to Master,Danya,,,,
17,1,1825,B,King's Indian,https://www.youtube.com/watch?v=ciTwGjksQWs&list=PLT1F2nOxLHOfQ-eoJTpyvKkQFwYewDduj&index=17,0.00,,Beginner to Master,Danya,,,,
18,1,1900,B,Accelerated Dragon,https://www.youtube.com/watch?v=lpHT3_yF4WQ&list=PLT1F2nOxLHOfQ-eoJTpyvKkQFwYewDduj&index=18,0.00,,Beginner to Master,Danya,,,,
19,1,1919,W,Modern,https://www.youtube.com/watch?v=25w0mYsx_Lk&list=PLT1F2nOxLHOfQ-eoJTpyvKkQFwYewDduj&index=19,0.00,,Beginner to Master,Danya,,,,
20,1,1919,W,King's Indian Samisch,https://www.youtube.com/watch?v=VOQ7DlsATuc&list=PLT1F2nOxLHOfQ-eoJTpyvKkQFwYewDduj&index=20,0.00,,Beginner to Master,Danya,,,,
