series_no,game_no,rating,color,opening,link,start,analysis,series,creator,move1,move2,move3,move4
5,1,1500.0,W,Italian,https://www.youtube.com/watch?v=n5BL4u1QpfY&list=PLT1F2nOxLHOfQ-eoJTpyvKkQFwYewDduj&index=6,0.0,,Beginner to Master,Danya,,,,
5,2,,W,Alapin Sicilian,,7.25,,Beginner to Master,Danya,,,,
6,1,1590.0,B,Exchange Caro Kann,https://www.youtube.com/watch?v=HF8cvN3ZKtU&list=PLT1F2nOxLHOfQ-eoJTpyvKkQFwYewDduj,0.0,,Beginner to Master,Danya,,,,
7,1,1600.0,B,Exchange Caro Kann,https://www.youtube.com/watch?v=vosZEy6YML0&list=PLT1F2nOxLHOfQ-eoJTpyvKkQFwYewDduj&index=8,0.0,,Beginner to Master,Danya,,,,
8,1,1620.0,B,King's Indian,https://www.youtube.com/watch?v=d-MNpi_zPr0&list=PLT1F2nOxLHOfQ-eoJTpyvKkQFwYewDduj&index=8,0.0,,Beginner to Master,Danya,,,,
8,2,,W,Open Sicilian,,29.45,,Beginner to Master,Danya,,,,
9,1,1461.0,B,Najdorf,https://www.youtube.com/watch?v=uJCgrG90u8A&list=PLT1F2nOxLHOfQ-eoJTpyvKkQFwYewDduj&index=9,0.0,,Beginner to Master,Danya,,,,
10,1,1590.0,B,King's Indian,https://www.youtube.com/watch?v=-PSQS88VdZU&list=PLT1F2nOxLHOfQ-eoJTpyvKkQFwYewDduj&index=10,0.0,,Beginner to Master,Danya,,,,
10,2,1600.0,W,Scotch Gambit,,17.3,,Beginner to Master,Danya,,,,
11,1,1651.0,B,Sicilian,https://www.youtube.com/watch?v=VBxmm4zzC1g&list=PLT1F2nOxLHOfQ-eoJTpyvKkQFwYewDduj&index=11,0.0,,Beginner to Master,Danya,,,,
12,1,1733.0,W,King's Gambit,https://www.youtube.com/watch?v=8QxDmN_BMaU&list=PLT1F2nOxLHOfQ-eoJTpyvKkQFwYewDduj&index=12,0.0,,Beginner to Master,Danya,,,,
13,1,1751.0,B,Najdorf,https://www.youtube.com/watch?v=0npOMfkAlVU&list=PLT1F2nOxLHOfQ-eoJTpyvKkQFwYewDduj&index=13,0.0,,Beginner to Master,Danya,,,,
13,2,1763.0,B,Italian,,30.3,,Beginner to Master,Danya,,,,
14,1,1764.0,W,Scotch,https://www.youtube.com/watch?v=OE2pJpVVzYw&list=PLT1F2nOxLHOfQ-eoJTpyvKkQFwYewDduj&index=14,0.0,,Beginner to Master,Danya,,,,
15,1,1770.0,W,French,https://www.youtube.com/watch?v=8O4UG9NtUoM&list=PLT1F2nOxLHOfQ-eoJTpyvKkQFwYewDduj&index=15,0.0,,Beginner to Master,Danya,,,,
16,1,1779.0,B,Najdorf,https://www.youtube.com/watch?v=fhDxUI-t2v4&list=PLT1F2nOxLHOfQ-eoJTpyvKkQFwYewDduj&index=16,0.0,,Beginner to Master,Danya,,,,
17,1,1825.0,B,King's Indian,https://www.youtube.com/watch?v=ciTwGjksQWs&list=PLT1F2nOxLHOfQ-eoJTpyvKkQFwYewDduj&index=17,0.0,,Beginner to Master,Danya,,,,
18,1,1900.0,B,Accelerated Dragon,https://www.youtube.com/watch?v=lpHT3_yF4WQ&list=PLT1F2nOxLHOfQ-eoJTpyvKkQFwYewDduj&index=18,0.0,,Beginner to Master,Danya,,,,
19,1,1919.0,W,Modern,https://www.youtube.com/watch?v=25w0mYsx_Lk&list=PLT1F2nOxLHOfQ-eoJTpyvKkQFwYewDduj&index=19,0.0,,Beginner to Master,Danya,,,,
20,1,1919.0,W,King's Indian Samisch,https://www.youtube.com/watch?v=VOQ7DlsATuc&list=PLT1F2nOxLHOfQ-eoJTpyvKkQFwYewDduj&index=20,0.0,,Beginner to Master,Danya,,,,
1,1,400.0,B,1. e5 a3,https://www.youtube.com/watch?v=0WPNVHZmYE8&list=PLT1F2nOxLHOefj_z54LNBpnASnIROm43e&index=1,0.0,,Masterclass,Danya,,,,
2,1,465.0,W,Danish Gambit Declined,https://www.youtube.com/watch?v=BGTBTghFQDI&list=PLT1F2nOxLHOefj_z54LNBpnASnIROm43e&index=2,0.0,,Masterclass,Danya,,,,
3,1,531.0,W,Danish Gambit Declined,https://www.youtube.com/watch?v=tgyq7_g2wV0&list=PLT1F2nOxLHOefj_z54LNBpnASnIROm43e&index=3,0.0,,Masterclass,Danya,,,,
4,1,578.0,W,Danish Gambit Declined,https://www.youtube.com/watch?v=kvpSIPdCvmw&list=PLT1F2nOxLHOefj_z54LNBpnASnIROm43e&index=4,0.0,,Masterclass,Danya,,,,
5,1,666.0,B,1. e5 e3,https://www.youtube.com/watch?v=LJa5Df75CJI&list=PLT1F2nOxLHOefj_z54LNBpnASnIROm43e&index=5,2.0,,Masterclass,Danya,,,,
6,1,744.0,W,Philidor,https://www.youtube.com/watch?v=NnQmNvrOmCI&list=PLT1F2nOxLHOefj_z54LNBpnASnIROm43e&index=6,0.0,,Masterclass,Danya,,,,
